sg nom,sg gen,sg part,sg ill,sg ine,sg ela,sg all,sg ade,sg abl,sg trans,sg term,sg com,pl nom,pl gen,pl part,pl ill,pl ine,pl ela,pl all,pl ade,pl abl,pl trans,pl term,pl com,kommentaar
angõriaz,angõria,angõriassõ,angõriasõ,angõriaz,angõriass,angõriallõ,angõriall,angõrialt,angõriassi,angõriassaa,angõriaka,angõriad,angõrijõ,angõriit,angõriisõ,angõriiz,angõriiss,angõriillõ,angõriill,angõriilt,angõriissi,angõriissaa,angõrijka,
anõ,anõ,anõa,anõsõ,anõz,anõss,anõllõ,anõll,anõlt,anõssi,anõssaa,anõka,anõd,anõjõ,anõit,anõisõ,anõiz,anõiss,anõillõ,anõill,anõilt,anõissi,anõissaa,anõika,
asfi,asfal̕ti,asfal̕ttia,asfal̕ttisõ,asfal̕ttiz,asfal̕tiss,asfal̕tillõ,asfal̕till,asfal̕tilt,asfal̕tissi,asfal̕ttissaa,asfal̕tika,asfal̕tid,asfal̕ttijõ,asfal̕ttiit,asfal̕ttiisõ,asfal̕ttiiz,asfal̕ttiiss,asfal̕ttiillõ,asfal̕ttiill,asfal̕ttiilt,asfal̕ttiissi,asfal̕ttiissaa,asfal̕ttijka,
astia,astia,astia,astiasõ,astiaz,astiass,astiallõ,astiall,astialt,astiassi,astiassaa,astiaka,astiad,astiojõ,astioit,astioisõ,astioiz,astioiss,astioillõ,astioill,astioilt,astioissi,astioissaa,astioika,
az̕z̕õ,az̕z̕a,az̕z̕a,az̕z̕asõ,az̕z̕õz,az̕z̕õss,az̕z̕õllõ,az̕z̕õll,az̕z̕õlt,az̕z̕õssi,az̕z̕õssaa,az̕z̕õka,az̕z̕õd,az̕z̕ojõ,az̕z̕oit,az̕z̕oisõ,az̕z̕oiz,az̕z̕oiss,az̕z̕oillõ,az̕z̕oill,az̕z̕oilt,az̕z̕oissi,az̕z̕oissaa,az̕z̕oika,
auči,audži,aučia,aučisõ,audžiz,audžiss,audžillõ,audžill,audžilt,audžissi,audžissaa,audžika,audžid,aučijõ,aučiit,aučiisõ,aučiiz,aučiiss,aučiillõ,aučiill,aučiilt,aučiissi,aučiissaa,aučijka,č-dž vaheldus
audžikkõin,audžikkõizõ,audžikkõissõ,audžikkõizõsõ,audžikkõizõz,audžikkõizõss,audžikkõizõllõ,audžikkõizõll,audžikkõizõlt,audžikkõizõssi,audžikkõizõssaa,audžikkõizõka,audžikkõizõd,audžikkõisijõ,audžikkõisiit,audžikkõisiisõ,audžikkõisiiz,audžikkõisiiss,audžikkõisiillõ,audžikkõisiill,audžikkõisiilt,audžikkõisiissi,audžikkõisiissaa,audžikkõisijka,Laakso märkinud dž mitte c
baabukõz,baabukka,baabukassõ,baabukkasõ,baabukkaz,baabukkass,baabukkallõ,baabukkall,baabukkalt,baabukkassi,baabukkassaa,baabukkaka,baabukkad,baabukkajõ,baabukkait,baabukkaisõ,baabukkaiz,baabukkaiss,baabukkaillõ,baabukkaill,baabukkailt,baabukkaissi,baabukkaissaa,baabukkaika,baabukkojõ
bad̕d̕õ,bad̕d̕a,bad̕d̕a,bad̕d̕asõ,bad̕d̕õz,bad̕d̕õss,bad̕d̕õllõ,bad̕d̕õll,bad̕d̕õlt,bad̕d̕õssi,bad̕d̕õssaa,bad̕d̕õka,bad̕d̕õd,bad̕d̕ojõ,bad̕d̕oit,bad̕d̕oisõ,bad̕d̕oiz,bad̕d̕oiss,bad̕d̕oillõ,bad̕d̕oill,bad̕d̕oilt,bad̕d̕oissi,bad̕d̕oissaa,bad̕d̕oika,
bagaži,bagaži,bagažia,bagažisõ,bagažiz,bagažiss,bagažillõ,bagažill,bagažilt,bagažissi,bagažissaa,bagažika,bagažid,bagažijõ,bagažiit,bagažiisõ,bagažiiz,bagažiiss,bagažiillõ,bagažiill,bagažiilt,bagažiissi,bagažiissaa,bagažijka,
bahvõlõ,bahvõla,bahvõla,bahvõlasõ,bahvõlõz,bahvõlõss,bahvõlõllõ,bahvõlõll,bahvõlõlt,bahvõlõssi,bahvõlõssaa,bahvõlõka,bahvõlõd,bahvõlojõ,bahvõloit,bahvõloisõ,bahvõloiz,bahvõloiss,bahvõloillõ,bahvõloill,bahvõloilt,bahvõloissi,bahvõloissaa,bahvõloika,
baldõhina,baldõhina,baldõhina,baldõhinasõ,baldõhinaz,baldõhinass,baldõhinallõ,baldõhinall,baldõhinalt,baldõhinassi,baldõhinassaa,baldõhinaka,baldõhinad,baldõhinojõ,baldõhinoit,baldõhinoisõ,baldõhinoiz,baldõhinoiss,baldõhinoillõ,baldõhinoill,baldõhinoilt,baldõhinoissi,baldõhinoissaa,baldõhinoika,
balhoni,balhoni,balhonia,balhonisõ,balhoniz,balhoniss,balhonillõ,balhonill,balhonilt,balhonissi,balhonissaa,balhonika,balhonid,balhonijõ,balhoniit,balhoniisõ,balhoniiz,balhoniiss,balhoniillõ,balhoniill,balhoniilt,balhoniissi,balhoniissaa,balhonijka,
bambukkõ,bambuka,bambukka,bambukkasõ,bambukkõz,bambukõss,bambukõllõ,bambukõll,bambukõlt,bambukõssi,bambukkõssaa,bambukõka,bambukõd,bambukkijõ,bambukkiit,bambukkiisõ,bambukkiiz,bambukkiiss,bambukkiillõ,bambukkiill,bambukkiilt,bambukkiissi,bambukkiissaa,bambukkijka,
bank,banka,banka,bankasõ,bankõz,bankõss,bankõllõ,bankõll,bankõlt,bankõssi,bankõssaa,bankõka,bankõd,bankojõ,bankoit,bankoisõ,bankoiz,bankoiss,bankoillõ,bankoill,bankoilt,bankoissi,bankoissaa,bankoika,
bankrutti,bankruti,bankruttia,bankruttisõ,bankruttiz,bankrutiss,bankrutillõ,bankrutill,bankrutilt,bankrutissi,bankruttissaa,bankrutika,bankrutid,bankruttijõ,bankruttiit,bankruttiisõ,bankruttiiz,bankruttiiss,bankruttiillõ,bankruttiill,bankruttiilt,bankruttiissi,bankruttiissaa,bankruttijka,sg ill lisatud -sõ lõpp
barabana,barabana,barabana,barabanasõ,barabanaz,barabanass,barabanallõ,barabanall,barabanalt,barabanassi,barabanassaa,barabanaka,barabanad,barabanojõ,barabanoit,barabanoisõ,barabanoiz,barabanoiss,barabanoillõ,barabanoill,barabanoilt,barabanoissi,barabanoissaa,barabanoika,
baroni,baroni,baronia,baronisõ,baroniz,baroniss,baronillõ,baronill,baronilt,baronissi,baronissaa,baronika,baronid,baronijõ,baroniit,baroniisõ,baroniiz,baroniiss,baroniillõ,baroniill,baroniilt,baroniissi,baroniissaa,baronijka,
bašmukkõ,bašmuka,bašmukka,bašmukkasõ,bašmukkõz,bašmukõss,bašmukõllõ,bašmukõll,bašmukõlt,bašmukõssi,bašmukkõssaa,bašmukõka,bašmukõd,bašmukkojõ,bašmukkoit,bašmukkoisõ,bašmukkoiz,bašmukkoiss,bašmukkoillõ,bašmukkoill,bašmukkoilt,bašmukkoissi,bašmukkoissaa,bašmukkoika,
bašn̕i,bašn̕a,bašn̕a,bašn̕asõ,bašn̕õz,bašn̕õss,bašn̕õllõ,bašn̕õll,bašn̕õlt,bašn̕õssi,bašn̕õssaa,bašn̕õka,bašn̕õd,bašn̕ojõ,bašn̕oit,bašn̕oisõ,bašn̕oiz,bašn̕oiss,bašn̕oillõ,bašn̕oill,bašn̕oilt,bašn̕oissi,bašn̕oissaa,bašn̕oika,
bibli,bibli,bibliä,biblise,bibliz,bibliss,biblille,biblill,biblilt,biblissi,biblissaa,biblika,biblid,biblije,bibliit,bibliise,bibliiz,bibliiss,bibliille,bibliill,bibliilt,bibliissi,bibliissaa,biblijka,
biblioteekkõ,biblioteeka,biblioteekka,biblioteekkasõ,biblioteekkõz,biblioteekõss,biblioteekõllõ,biblioteekõll,biblioteekõlt,biblioteekõssi,biblioteekkõssaa,biblioteekõka,biblioteekõd,biblioteekkijõ,biblioteekkiit,biblioteekkiisõ,biblioteekkiiz,biblioteekkiiss,biblioteekkiillõ,biblioteekkiill,biblioteekkiilt,biblioteekkiissi,biblioteekkiissaa,biblioteekkijka,
biletti,bileti,bilettiä,bilettise,bilettiz,biletiss,biletille,biletill,biletilt,biletissi,bilettissaa,biletika,biletid,bilettije,bilettiit,bilettiise,bilettiiz,bilettiiss,bilettiille,bilettiill,bilettiilt,bilettiissi,bilettiissaa,bilettijka,
bil̕jardi,bil̕jardi,bil̕jardia,bil̕jardisõ,bil̕jardiz,bil̕jardiss,bil̕jardillõ,bil̕jardill,bil̕jardilt,bil̕jardissi,bil̕jardissaa,bil̕jardika,bil̕jardid,bil̕jardijõ,bil̕jardiit,bil̕jardiisõ,bil̕jardiiz,bil̕jardiiss,bil̕jardiillõ,bil̕jardiill,bil̕jardiilt,bil̕jardiissi,bil̕jardiissaa,bil̕jardijka,
biskvittõ,biskvita,biskvitta,biskvittasõ,biskvittõz,biskvitõss,biskvitõllõ,biskvitõll,biskvitõlt,biskvitõssi,biskvittõssaa,biskvitõka,biskvitõd,biskvittajõ,biskvittiit,biskvittiisõ,biskvittiiz,biskvittiiss,biskvittiillõ,biskvittiill,biskvittiilt,biskvittiissi,biskvittiissaa,biskvittijka,
bl̕aahõ,bl̕aaha,bl̕aaha,bl̕aahasõ,bl̕aahõz,bl̕aahõss,bl̕aahõllõ,bl̕aahõll,bl̕aahõlt,bl̕aahõssi,bl̕aahõssaa,bl̕aahõka,bl̕aahõd,bl̕aahojõ,bl̕aahoit,bl̕aahoisõ,bl̕aahoiz,bl̕aahoiss,bl̕aahoillõ,bl̕aahoill,bl̕aahoilt,bl̕aahoissi,bl̕aahoissaa,bl̕aahoika,
bl̕uud,bl̕uuda,bl̕uuda,bl̕uudasõ,bl̕uudõz,bl̕uudõss,bl̕uudõllõ,bl̕uudõll,bl̕uudõlt,bl̕uudõssi,bl̕uudõssaa,bl̕uudõka,bl̕uudõd,bl̕uudojõ,bl̕uudoit,bl̕uudoisõ,bl̕uudoiz,bl̕uudoiss,bl̕uudoillõ,bl̕uudoill,bl̕uudoilt,bl̕uudoissi,bl̕uudoissaa,bl̕uudoika,
bl̕uudõčk,bl̕uudõčka,bl̕uudõčka,bl̕uudõčkasõ,bl̕uudõčkõz,bl̕uudõčkõss,bl̕uudõčkõllõ,bl̕uudõčkõll,bl̕uudõčkõlt,bl̕uudõčkõssi,bl̕uudõčkõssaa,bl̕uudõčkõka,bl̕uudõčkõd,bl̕uudõčkojõ,bl̕uudõčkoit,bl̕uudõčkoisõ,bl̕uudõčkoiz,bl̕uudõčkoiss,bl̕uudõčkoillõ,bl̕uudõčkoill,bl̕uudõčkoilt,bl̕uudõčkoissi,bl̕uudõčkoissaa,bl̕uudõčkoika,
bobrõ,bobra,bobra,bobrasõ,bobrõz,bobrõss,bobrõllõ,bobrõll,bobrõlt,bobrõssi,bobrõssaa,bobrõka,bobrõd,bobrojõ,bobroit,bobroisõ,bobroiz,bobroiss,bobroillõ,bobroill,bobroilt,bobroissi,bobroissaa,bobroika,pl gen jj aapõ järgi ise
bobuli,bobuli,bobulia,bobulisõ,bobuliz,bobuliss,bobulillõ,bobulill,bobulilt,bobulissi,bobulissaa,bobulika,bobulid,bobulijõ,bobuliit,bobuliisõ,bobuliiz,bobuliiss,bobuliillõ,bobuliill,bobuliilt,bobuliissi,bobuliissaa,bobulijka,
bodroi,bodroi,bodroit,bodroisõ,bodroiz,bodroiss,bodroillõ,bodroill,bodroilt,bodroissi,bodroissaa,bodroika,bodroid,bodrojõ,bodroit,bodroisõ,bodroiz,bodroiss,bodroillõ,bodroill,bodroilt,bodroissi,bodroissaa,bodroika,adjektiiv?
bol̕nittsõ,bol̕nitsa,bol̕nittsa,bol̕nittsasõ,bol̕nittsõz,bol̕nitsõss,bol̕nitsõllõ,bol̕nitsõll,bol̕nitsõlt,bol̕nitsõssi,bol̕nittsõssaa,bol̕nitsõka,bol̕nitsõd,bol̕nittsojõ,bol̕nittsoit,bol̕nittsoisõ,bol̕nittsoiz,bol̕nittsoiss,bol̕nittsoillõ,bol̕nittsoill,bol̕nittsoilt,bol̕nittsoissi,bol̕nittsoissaa,bol̕nittsoika,Laakso märkinud pl nom -ed
bombõ,bomba,bomba,bombasõ,bombõz,bombõss,bombõllõ,bombõll,bombõlt,bombõssi,bombõssaa,bombõka,bombõd,bombijõ,bombiit,bombiisõ,bombiiz,bombiiss,bombiillõ,bombiill,bombiilt,bombiissi,bombiissaa,bombijka,
boran,borana,borana,boranasõ,boranõz,boranõss,boranõllõ,boranõll,boranõlt,boranõssi,boranõssaa,boranõka,boranõd,boranojõ,boranoit,boranoisõ,boranoiz,boranoiss,boranoillõ,boranoill,boranoilt,boranoissi,boranoissaa,boranoika,
borkkanõ,borkkana,borkkana,borkkanasõ,borkkanõz,borkkanõss,borkkanõllõ,borkkanõll,borkkanõlt,borkkanõssi,borkkanõssaa,borkkanõka,borkkanõd,borkkanojõ,borkkanoit,borkkanoisõ,borkkanoiz,borkkanoiss,borkkanoillõ,borkkanoill,borkkanoilt,borkkanoissi,borkkanoissaa,borkkanoika,
borovikkõ,borovika,borovikka,borovikkasõ,borovikkõz,borovikõss,borovikõllõ,borovikõll,borovikõlt,borovikõssi,borovikkõssaa,borovikõka,borovikõd,borovikkojõ,borovikkoit,borovikkoisõ,borovikkoiz,borovikkoiss,borovikkoillõ,borovikkoill,borovikkoilt,borovikkoissi,borovikkoissaa,borovikkoika,
bruudõ,bruuda,bruuda,bruudasõ,bruudõz,bruudõss,bruudõllõ,bruudõll,bruudõlt,bruudõssi,bruudõssaa,bruudõka,bruudõd,bruudojõ,bruudoit,bruudoisõ,bruudoiz,bruudoiss,bruudoillõ,bruudoill,bruudoilt,bruudoissi,bruudoissaa,bruudoika,
