sg nom,sg gen,sg part,sg ill,sg ine,sg ela,sg all,sg ade,sg abl,sg trans,sg term,sg com,pl nom,pl gen,pl part,pl ill,pl ine,pl ela,pl all,pl ade,pl abl,pl trans,pl term,pl com,kommentaar
kagrõ,kagra,kagra,kagrasõ,kagrõz,kagrõss,kagrõllõ,kagrõll,kagrõlt,kagrõssi,kagrõssaa,kagrõka,kagrõd,kagrojõ,kagroit,kagroisõ,kagroiz,kagroiss,kagroillõ,kagroill,kagroilt,kagroissi,kagroissaa,kagroika,
kahs,kahõ,kahtõ,kahtõ,kahõz,kahõss,kahõllõ,kahõll,kahõlt,kahõssi,kahõssaa,kahõka,kahõd,kahsijõ,kahsiit,kahsiisõ,kahsiiz,kahsiiss,kahsiillõ,kahsiill,kahsiilt,kahsiissi,kahsiissaa,kahsijka,TODO lisada teised numbrid ka
kahu,kahu,kahua,kahusõ,kahuz,kahuss,kahullõ,kahull,kahult,kahussi,kahussaa,kahuka,kahud,kahujõ,kahuit,kahuisõ,kahuiz,kahuiss,kahuillõ,kahuill,kahuilt,kahuissi,kahuissaa,kahuika,
kahõsa,kahõssõmõ,kahõssõma,kahõssõmasõ,kahõssõmaz,kahõssõmass,kahõssõmallõ,kahõssõmall,kahõssõmalt,kahõssõmassi,kahõssõmassaa,kahõssõmaka,kahõssõmad,kahõssõmijõ,kahõssõmiit,kahõssõmiisõ,kahõssõmiiz,kahõssõmiiss,kahõssõmiillõ,kahõssõmiill,kahõssõmiilt,kahõssõmiissi,kahõssõmiissaa,kahõssõmijka,kuidas? nagu kuuvvaiz
kajagõ,kajaga,kajaga,kajagasõ,kajagõz,kajagõss,kajagõllõ,kajagõll,kajagõlt,kajagõssi,kajagõssaa,kajagõka,kajagõd,kajagojõ,kajagoit,kajagoisõ,kajagoiz,kajagoiss,kajagoillõ,kajagoill,kajagoilt,kajagoissi,kajagoissaa,kajagoika,
kajutti,kajuti,kajuttia,kajuttisõ,kajuttiz,kajutiss,kajutillõ,kajutill,kajutilt,kajutissi,kajuttissaa,kajutika,kajutid,kajuttijõ,kajuttiit,kajuttiisõ,kajuttiiz,kajuttiiss,kajuttiillõ,kajuttiill,kajuttiilt,kajuttiissi,kajuttiissaa,kajuttijka,
kakko,kako,kakkoa,kakkosõ,kakkoz,kakoss,kakollõ,kakoll,kakolt,kakossi,kakkossaa,kakoka,kakod,kakkojõ,kakkoit,kakkoisõ,kakkoiz,kakkoiss,kakkoillõ,kakkoill,kakkoilt,kakkoissi,kakkoissaa,kakkoika,
kakku,kaku,kakkua,kakkusõ,kakkuz,kakuss,kakullõ,kakull,kakult,kakussi,kakkussaa,kakuka,kakud,kakkujõ,kakkuit,kakkuisõ,kakkuiz,kakkuiss,kakkuillõ,kakkuill,kakkuilt,kakkuissi,kakkuissaa,kakkuika,
kala,kala,kala,kalasõ,kalaz,kalass,kalallõ,kalall,kalalt,kalassi,kalassaa,kalaka,kalad,kalojõ,kaloit,kaloisõ,kaloiz,kaloiss,kaloillõ,kaloill,kaloilt,kaloissi,kaloissaa,kaloika,
kal̕indora,kal̕indora,kal̕indora,kal̕indorasõ,kal̕indoraz,kal̕indorass,kal̕indorallõ,kal̕indorall,kal̕indoralt,kal̕indorassi,kal̕indorassaa,kal̕indoraka,kal̕indorad,kal̕indorõjõ,kal̕indorõit,kal̕indorõisõ,kal̕indorõiz,kal̕indorõiss,kal̕indorõillõ,kal̕indorõill,kal̕indorõilt,kal̕indorõissi,kal̕indorõissaa,kal̕indorõika,
kalliz,kalli,kallissõ,kallisõ,kalliz,kalliss,kallillõ,kallill,kallilt,kallissi,kallissaa,kallika,kallid,kallejõ,kalleit,kalleisõ,kalleiz,kalleiss,kalleillõ,kalleill,kalleilt,kalleissi,kalleissaa,kalleika,TODO pl part tüvevokaal?
kalmo,kalmo,kalmoa,kalmosõ,kalmoz,kalmoss,kalmollõ,kalmoll,kalmolt,kalmossi,kalmossaa,kalmoka,kalmod,kalmojõ,kalmoit,kalmoisõ,kalmoiz,kalmoiss,kalmoillõ,kalmoill,kalmoilt,kalmoissi,kalmoissaa,kalmoika,
kalttõin,kalttõizõ,kalttõissõ,kalttõizõsõ,kalttõizõz,kalttõizõss,kalttõizõllõ,kalttõizõll,kalttõizõlt,kalttõizõssi,kalttõizõssaa,kalttõizõka,kalttõizõd,kalttõizijõ,kalttõiziit,kalttõiziisõ,kalttõiziiz,kalttõiziiss,kalttõiziillõ,kalttõiziill,kalttõiziilt,kalttõiziissi,kalttõiziissaa,kalttõizijka,
kamal,kamala,kamala,kamalasõ,kamalõz,kamalõss,kamalõllõ,kamalõll,kamalõlt,kamalõssi,kamalõssaa,kamalõka,kamalõd,kamalojõ,kamaloit,kamaloisõ,kamaloiz,kamaloiss,kamaloillõ,kamaloill,kamaloilt,kamaloissi,kamaloissaa,kamaloika,
kamal̕ikkõ,kamal̕ika,kamal̕ikka,kamal̕ikkasõ,kamal̕ikkõz,kamal̕ikõss,kamal̕ikõllõ,kamal̕ikõll,kamal̕ikõlt,kamal̕ikõssi,kamal̕ikkõssaa,kamal̕ikõka,kamal̕ikõd,kamal̕ikkojõ,kamal̕ikkoit,kamal̕ikkoisõ,kamal̕ikkoiz,kamal̕ikkoiss,kamal̕ikkoillõ,kamal̕ikkoill,kamal̕ikkoilt,kamal̕ikkoissi,kamal̕ikkoissaa,kamal̕ikkoika,TODO -lik üldistada mujalt?
kambõlõ,kambõla,kambõla,kambõlasõ,kambõlõz,kambõlõss,kambõlõllõ,kambõlõll,kambõlõlt,kambõlõssi,kambõlõssaa,kambõlõka,kambõlõd,kambõlojõ,kambõloit,kambõloisõ,kambõloiz,kambõloiss,kambõloillõ,kambõloill,kambõloilt,kambõloissi,kambõloissaa,kambõloika,
kametti,kameti,kamettia,kamettisõ,kamettiz,kametiss,kametillõ,kametill,kametilt,kametissi,kamettissaa,kametika,kametid,kamettijõ,kamettiit,kamettiisõ,kamettiiz,kamettiiss,kamettiillõ,kamettiill,kamettiilt,kamettiissi,kamettiissaa,kamettijka,
kamin,kamina,kamina,kaminasõ,kaminõz,kaminõss,kaminõllõ,kaminõll,kaminõlt,kaminõssi,kaminõssaa,kaminõka,kaminõd,kaminojõ,kaminoit,kaminoisõ,kaminoiz,kaminoiss,kaminoillõ,kaminoill,kaminoilt,kaminoissi,kaminoissaa,kaminoika,
kammõri,kammõri,kammõria,kammõrisõ,kammõriz,kammõriss,kammõrillõ,kammõrill,kammõrilt,kammõrissi,kammõrissaa,kammõrika,kammõrid,kammõrijõ,kammõriit,kammõriisõ,kammõriiz,kammõriiss,kammõriillõ,kammõriill,kammõriilt,kammõriissi,kammõriissaa,kammõrijka,
kana,kana,kana,kanasõ,kanaz,kanass,kanallõ,kanall,kanalt,kanassi,kanassaa,kanaka,kanad,kanojõ,kanoit,kanoisõ,kanoiz,kanoiss,kanoillõ,kanoill,kanoilt,kanoissi,kanoissaa,kanoika,
kanal,kanala,kanala,kanalasõ,kanalõz,kanalõss,kanalõllõ,kanalõll,kanalõlt,kanalõssi,kanalõssaa,kanalõka,kanalõd,kanalojõ,kanaloit,kanaloisõ,kanaloiz,kanaloiss,kanaloillõ,kanaloill,kanaloilt,kanaloissi,kanaloissaa,kanaloika,
kanavõ,kanava,kanava,kanavasõ,kanavõz,kanavõss,kanavõllõ,kanavõll,kanavõlt,kanavõssi,kanavõssaa,kanavõka,kanavõd,kanavojõ,kanavoit,kanavoisõ,kanavoiz,kanavoiss,kanavoillõ,kanavoill,kanavoilt,kanavoissi,kanavoissaa,kanavoika,
kand̕idaattõ,kand̕idaata,kand̕idaatta,kand̕idaattasõ,kand̕idaattõz,kand̕idaatõss,kand̕idaatõllõ,kand̕idaatõll,kand̕idaatõlt,kand̕idaatõssi,kand̕idaattõssaa,kand̕idaatõka,kand̕idaatõd,kand̕idaattojõ,kand̕idaattoit,kand̕idaattoisõ,kand̕idaattoiz,kand̕idaattoiss,kand̕idaattoillõ,kand̕idaattoill,kand̕idaattoilt,kand̕idaattoissi,kand̕idaattoissaa,kand̕idaattoika,
kanfetti,kanfeti,kanfettia,kanfettisõ,kanfettiz,kanfetiss,kanfetillõ,kanfetill,kanfetilt,kanfetissi,kanfettissaa,kanfetika,kanfetid,kanfettijõ,kanfettiit,kanfettiisõ,kanfettiiz,kanfettiiss,kanfettiillõ,kanfettiill,kanfettiilt,kanfettiissi,kanfettiissaa,kanfettijka,
kangõz,kanka,kangõssõ,kankasõ,kankaz,kankass,kankallõ,kankall,kankalt,kankassi,kankassaa,kankaka,kankad,kankajõ,kankait,kankaisõ,kankaiz,kankaiss,kankaillõ,kankaill,kankailt,kankaissi,kankaissaa,kankaika,
kanka,kanka,kankatõ,kankasõ,kankaz,kankass,kankallõ,kankall,kankalt,kankassi,kankassaa,kankaka,kankad,kankõjõ,kankõit,kankõisõ,kankõiz,kankõiss,kankõillõ,kankõill,kankõilt,kankõissi,kankõissaa,kankõika,
kanki,kangõ,kankõa,kankõsõ,kangõz,kangõss,kangõllõ,kangõll,kangõlt,kangõssi,kangõssaa,kangõka,kangõd,kankijõ,kankiit,kankiisõ,kankiiz,kankiiss,kankiillõ,kankiill,kankiilt,kankiissi,kankiissaa,kankijka,
kannõl,kannõlõ,kannõltõ,kannõlasõ,kannõlõz,kannõlõss,kannõlõllõ,kannõlõll,kannõlõlt,kannõlõssi,kannõlõssaa,kannõlõka,kannõlõd,kannõlijõ,kannõliit,kannõliisõ,kannõliiz,kannõliiss,kannõliillõ,kannõliill,kannõliilt,kannõliissi,kannõliissaa,kannõlijka,TODO vaata üle a-õ
kantõ,kanna,kanta,kantasõ,kannõz,kannõss,kannõllõ,kannõll,kannõlt,kannõssi,kannõssaa,kannõka,kannõd,kantojõ,kantoit,kantoisõ,kantoiz,kantoiss,kantoillõ,kantoill,kantoilt,kantoissi,kantoissaa,kantoika,
kanto,kanno,kantoa,kantosõ,kannoz,kannoss,kannollõ,kannoll,kannolt,kannossi,kannossaa,kannoka,kannod,kantojõ,kantoit,kantoisõ,kantoiz,kantoiss,kantoillõ,kantoill,kantoilt,kantoissi,kantoissaa,kantoika,TODO vaata üle tüvevokaal (vrd kant:kanna sõna oma)
kapussõ,kapusa,kapussa,kapussasõ,kapussaz,kapusass,kapusallõ,kapusall,kapusalt,kapusassi,kapussassaa,kapusaka,kapusad,kapussõjõ,kapussõit,kapussõisõ,kapussõiz,kapussõiss,kapussõillõ,kapussõill,kapussõilt,kapussõissi,kapussõissaa,kapussõika,
karjušši,karjuši,karjuššia,karjuššisõ,karjušiz,karjušiss,karjušillõ,karjušill,karjušilt,karjušissi,karjušissaa,karjušika,karjušid,karjuššijõ,karjuššiit,karjuššiisõ,karjuššiiz,karjuššiiss,karjuššiillõ,karjuššiill,karjuššiilt,karjuššiissi,karjuššiissaa,karjuššijka,
karjõ,karja,karja,karjasõ,karjõz,karjõss,karjõllõ,karjõll,karjõlt,karjõssi,karjõssaa,karjõka,karjõd,karjojõ,karjoit,karjoisõ,karjoiz,karjoiss,karjoillõ,karjoill,karjoilt,karjoissi,karjoissaa,karjoika,
karu,karu,karua,karusõ,karuz,karuss,karullõ,karull,karult,karussi,karussaa,karuka,karud,karujõ,karuit,karuisõ,karuiz,karuiss,karuillõ,karuill,karuilt,karuissi,karuissaa,karuika,
kassõ,kassa,kassa,kassasõ,kassõz,kassõss,kassõllõ,kassõll,kassõlt,kassõssi,kassõssaa,kassõka,kassõd,kassojõ,kassoit,kassoisõ,kassoiz,kassoiss,kassoillõ,kassoill,kassoilt,kassoissi,kassoissaa,kassoika,
kasõ,kassõ,kasõttõ,kassõsõ,kassõz,kassõss,kassõllõ,kassõll,kassõlt,kassõssi,kassõssaa,kassõka,kassõd,kassõjõ,kassõit,kassõisõ,kassõiz,kassõiss,kassõillõ,kassõill,kassõilt,kassõissi,kassõissaa,kassõika,
katagõ,kataga,kataga,katagasõ,katagõz,katagõss,katagõllõ,katagõll,katagõlt,katagõssi,katagõssaa,katagõka,katagõd,katagojõ,katagoit,katagoisõ,katagoiz,katagoiss,katagoillõ,katagoill,katagoilt,katagoissi,katagoissaa,katagoika,
katol̕ikkõ,katol̕ika,katol̕ikka,katol̕ikkasõ,katol̕ikkõz,katol̕ikõss,katol̕ikõllõ,katol̕ikõll,katol̕ikõlt,katol̕ikõssi,katol̕ikkõssaa,katol̕ikõka,katol̕ikõd,katol̕ikkojõ,katol̕ikkoit,katol̕ikkoisõ,katol̕ikkoiz,katol̕ikkoiss,katol̕ikkoillõ,katol̕ikkoill,katol̕ikkoilt,katol̕ikkoissi,katol̕ikkoissaa,katol̕ikkoika,
katti,kati,kattia,kattisõ,kattiz,katiss,katillõ,katill,katilt,katissi,kattissaa,katika,katid,kattijõ,kattiit,kattiisõ,kattiiz,kattiiss,kattiillõ,kattiill,kattiilt,kattiissi,kattiissaa,kattijka,
katto,kato,kattoa,kattosõ,kattoz,katoss,katollõ,katoll,katolt,katossi,kattossaa,katoka,katod,kattojõ,kattoit,kattoisõ,kattoiz,kattoiss,kattoillõ,kattoill,kattoilt,kattoissi,kattoissaa,kattoika,
katõ,kattõ,katõttõ,kattõsõ,kattõz,kattõss,kattõllõ,kattõll,kattõlt,kattõssi,kattõssaa,kattõka,kattõd,kattõjõ,kattõit,kattõisõ,kattõiz,kattõiss,kattõillõ,kattõill,kattõilt,kattõissi,kattõissaa,kattõika,
kauniz,kauni,kaunissõ,kaunisõ,kauniz,kauniss,kaunillõ,kaunill,kaunilt,kaunissi,kaunissaa,kaunika,kaunid,kaunijõ,kauniit,kauniisõ,kauniiz,kauniiss,kauniillõ,kauniill,kauniilt,kauniissi,kauniissaa,kaunijka,Tsvetkovil kauniz:kaune!
kauppõ,kaupa,kauppa,kauppasõ,kauppõz,kaupõss,kaupõllõ,kaupõll,kaupõlt,kaupõssi,kauppõssaa,kaupõka,kaupõd,kauppojõ,kauppoit,kauppoisõ,kauppoiz,kauppoiss,kauppoillõ,kauppoill,kauppoilt,kauppoissi,kauppoissaa,kauppoika,
kavalõ,kavala,kavala,kavalasõ,kavalõz,kavalõss,kavalõllõ,kavalõll,kavalõlt,kavalõssi,kavalõssaa,kavalõka,kavalõd,kavalojõ,kavaloit,kavaloisõ,kavaloiz,kavaloiss,kavaloillõ,kavaloill,kavaloilt,kavaloissi,kavaloissaa,kavaloika,
kavaluz,kavalusõ,kavalussõ,kavalussõ,kavalusõz,kavalusõss,kavalusõllõ,kavalusõll,kavalusõlt,kavalusõssi,kavalusõssaa,kavalusõka,kavalusõd,kavalussijõ,kavalussiit,kavalussiisõ,kavalussiiz,kavalussiiss,kavalussiillõ,kavalussiill,kavalussiilt,kavalussiissi,kavalussiissaa,kavalussijka,
kaõ,kaõ,kaõttõ,kaõsõ,kaõz,kaõss,kaõllõ,kaõll,kaõlt,kaõssi,kaõssaa,kaõka,kaõd,kaõjõ,kaõit,kaõisõ,kaõiz,kaõiss,kaõillõ,kaõill,kaõilt,kaõissi,kaõissaa,kaõika,
kehno,kehno,kehnoa,kehnosõ,kehnoz,kehnoss,kehnollõ,kehnoll,kehnolt,kehnossi,kehnossaa,kehnoka,kehnod,kehnojõ,kehnoit,kehnoisõ,kehnoiz,kehnoiss,kehnoillõ,kehnoill,kehnoilt,kehnoissi,kehnoissaa,kehnoika,
kehnokkõin,kehnokkõizõ,kehnokkõissõ,kehnokkõizõsõ,kehnokkõizõz,kehnokkõizõss,kehnokkõizõllõ,kehnokkõizõll,kehnokkõizõlt,kehnokkõizõssi,kehnokkõizõssaa,kehnokkõizõka,kehnokkõizõd,kehnokkõisijõ,kehnokkõisiit,kehnokkõisiisõ,kehnokkõisiiz,kehnokkõisiiss,kehnokkõisiillõ,kehnokkõisiill,kehnokkõisiilt,kehnokkõisiissi,kehnokkõisiissaa,kehnokkõisijka,TODO õ muutub -ijõ pl gen
kelkkõ,kelka,kelkka,kelkkasõ,kelkkõz,kelkõss,kelkõllõ,kelkõll,kelkõlt,kelkõssi,kelkkõssaa,kelkõka,kelkõd,kelkkojõ,kelkkoit,kelkkoisõ,kelkkoiz,kelkkoiss,kelkkoillõ,kelkkoill,kelkkoilt,kelkkoissi,kelkkoissaa,kelkkoika,
kerkiä,kerkiä,kerkiätä,kerkiäse,kerkiäz,kerkiäss,kerkiälle,kerkiäll,kerkiält,kerkiässi,kerkiässaa,kerkiäka,kerkiäd,kerkije,kerkiit,kerkiise,kerkiiz,kerkiiss,kerkiille,kerkiill,kerkiilt,kerkiissi,kerkiissaa,kerkijka,
keskolin,keskolizõ,keskolissõ,keskolizõsõ,keskolizõz,keskolizõss,keskolizõllõ,keskolizõll,keskolizõlt,keskolizõssi,keskolizõssaa,keskolizõka,keskolizõd,keskolisijõ,keskolisiit,keskolisiisõ,keskolisiiz,keskolisiiss,keskolisiillõ,keskolisiill,keskolisiilt,keskolisiissi,keskolisiissaa,keskolisijka,
kiikeri,kiikeri,kiikeriä,kiikerise,kiikeriz,kiikeriss,kiikerille,kiikerill,kiikerilt,kiikerissi,kiikerissaa,kiikerika,kiikerid,kiikerije,kiikeriit,kiikeriise,kiikeriiz,kiikeriiss,kiikeriille,kiikeriill,kiikeriilt,kiikeriissi,kiikeriissaa,kiikerijka,
kiikku,kiiku,kiikkua,kiikkusõ,kiikkuz,kiikuss,kiikullõ,kiikull,kiikult,kiikussi,kiikkussaa,kiikuka,kiikud,kiikkujõ,kiikkuit,kiikkuisõ,kiikkuiz,kiikkuiss,kiikkuillõ,kiikkuill,kiikkuilt,kiikkuissi,kiikkuissaa,kiikkuika,
kiisseli,kiisseli,kiisseliä,kiisselise,kiisseliz,kiisseliss,kiisselille,kiisselill,kiisselilt,kiisselissi,kiisselissaa,kiisselika,kiisselid,kiisselije,kiisseliit,kiisseliise,kiisseliiz,kiisseliiss,kiisseliille,kiisseliill,kiisseliilt,kiisseliissi,kiisseliissaa,kiisselijka,
kippu,kipu,kippua,kippusõ,kippuz,kipuss,kipullõ,kipull,kipult,kipussi,kippussaa,kipuka,kipud,kippujõ,kippuit,kippuisõ,kippuiz,kippuiss,kippuillõ,kippuill,kippuilt,kippuissi,kippuissaa,kippuika,
kipun,kipuna,kipuna,kipunasõ,kipunõz,kipunõss,kipunõllõ,kipunõll,kipunõlt,kipunõssi,kipunõssaa,kipunõka,kipunõd,kipunojõ,kipunoit,kipunoisõ,kipunoiz,kipunoiss,kipunoillõ,kipunoill,kipunoilt,kipunoissi,kipunoissaa,kipunoika,
kirstu,kirstu,kirstua,kirstusõ,kirstuz,kirstuss,kirstullõ,kirstull,kirstult,kirstussi,kirstussaa,kirstuka,kirstud,kirstujõ,kirstuit,kirstuisõ,kirstuiz,kirstuiss,kirstuillõ,kirstuill,kirstuilt,kirstuissi,kirstuissaa,kirstuika,
kitai,kitaja,kitaja,kitajasõ,kitajaz,kitajass,kitajallõ,kitajall,kitajalt,kitajassi,kitajassaa,kitajaka,kitajad,kitajojõ,kitajoit,kitajoisõ,kitajoiz,kitajoiss,kitajoillõ,kitajoill,kitajoilt,kitajoissi,kitajoissaa,kitajoika,
kittsi,kitsi,kittsiä,kittsise,kittsiz,kitsiss,kitsille,kitsill,kitsilt,kitsissi,kittsissaa,kitsika,kitsid,kittsije,kittsiit,kittsiise,kittsiiz,kittsiiss,kittsiille,kittsiill,kittsiilt,kittsiissi,kittsiissaa,kittsijka,
klaassõ,klaasa,klaassa,klaassasõ,klaassõz,klaasõss,klaasõllõ,klaasõll,klaasõlt,klaasõssi,klaassõssaa,klaasõka,klaasõd,klaassojõ,klaassoit,klaassoisõ,klaassoiz,klaassoiss,klaassoillõ,klaassoill,klaassoilt,klaassoissi,klaassoissaa,klaassoika,
kluub,kluuba,kluuba,kluubasõ,kluubõz,kluubõss,kluubõllõ,kluubõll,kluubõlt,kluubõssi,kluubõssaa,kluubõka,kluubõd,kluubojõ,kluuboit,kluuboisõ,kluuboiz,kluuboiss,kluuboillõ,kluuboill,kluuboilt,kluuboissi,kluuboissaa,kluuboika,
koffi,kofi,koffia,koffisõ,kofiz,kofiss,kofillõ,kofill,kofilt,kofissi,kofissaa,kofika,kofid,koffijõ,koffiit,koffiisõ,koffiiz,koffiiss,koffiillõ,koffiill,koffiilt,koffiissi,koffiissaa,koffijka,mida teha lühikese illatiiviga kui see on ainus antud vorm?
kohin,kohina,kohina,kohinasõ,kohinõz,kohinõss,kohinõllõ,kohinõll,kohinõlt,kohinõssi,kohinõssaa,kohinõka,kohinõd,kohinojõ,kohinoit,kohinoisõ,kohinoiz,kohinoiss,kohinoillõ,kohinoill,kohinoilt,kohinoissi,kohinoissaa,kohinoika,
koi,koi,koitõ,koisõ,koiz,koiss,koillõ,koill,koilt,koissi,koissaa,koika,koid,koijõ,koit,koisõ,koiz,koiss,koillõ,koill,koilt,koissi,koissaa,koika,
koirõ,koira,koira,koirasõ,koirõz,koirõss,koirõllõ,koirõll,koirõlt,koirõssi,koirõssaa,koirõka,koirõd,koirijõ,koiriit,koiriisõ,koiriiz,koiriiss,koiriillõ,koiriill,koiriilt,koiriissi,koiriissaa,koirijka,
koivu,koivu,koivua,koivusõ,koivuz,koivuss,koivullõ,koivull,koivult,koivussi,koivussaa,koivuka,koivud,koivujõ,koivuit,koivuisõ,koivuiz,koivuiss,koivuillõ,koivuill,koivuilt,koivuissi,koivuissaa,koivuika,
koivuin,koivuizõ,koivuissõ,koivuizõsõ,koivuizõz,koivuizõss,koivuizõllõ,koivuizõll,koivuizõlt,koivuizõssi,koivuizõssaa,koivuizõka,koivuizõd,koivuizijõ,koivuiziit,koivuiziisõ,koivuiziiz,koivuiziiss,koivuiziillõ,koivuiziill,koivuiziilt,koivuiziissi,koivuiziissaa,koivuizijka,
kokki,koki,kokkia,kokkisõ,kokkiz,kokiss,kokillõ,kokill,kokilt,kokissi,kokkissaa,kokika,kokid,kokkijõ,kokkiit,kokkiisõ,kokkiiz,kokkiiss,kokkiillõ,kokkiill,kokkiilt,kokkiissi,kokkiissaa,kokkijka,
kolauz,kolausõ,kolaussõ,kolauzõsõ,kolauzõz,kolauzõss,kolauzõllõ,kolauzõll,kolauzõlt,kolauzõssi,kolauzõssaa,kolauzõka,kolauzõd,kolausijõ,kolausiit,kolausiisõ,kolausiiz,kolausiiss,kolausiillõ,kolausiill,kolausiilt,kolausiissi,kolausiissaa,kolausijka,
kolkki,kolki,kolkkia,kolkkisõ,kolkkiz,kolkiss,kolkillõ,kolkill,kolkilt,kolkissi,kolkkissaa,kolkika,kolkid,kolkkijõ,kolkkiit,kolkkiisõ,kolkkiiz,kolkkiiss,kolkkiillõ,kolkkiill,kolkkiilt,kolkkiissi,kolkkiissaa,kolkkijka,
kolkku,kolku,kolkkua,kolkkusõ,kolkkuz,kolkuss,kolkullõ,kolkull,kolkult,kolkussi,kolkkussaa,kolkuka,kolkud,kolkkujõ,kolkkuit,kolkkuisõ,kolkkuiz,kolkkuiss,kolkkuillõ,kolkkuill,kolkkuilt,kolkkuissi,kolkkuissaa,kolkkuika,
kolkkõ,kolka,kolkka,kolkkasõ,kolkkõz,kolkõss,kolkõllõ,kolkõll,kolkõlt,kolkõssi,kolkkõssaa,kolkõka,kolkõd,kolkkijõ,kolkkiit,kolkkiisõ,kolkkiiz,kolkkiiss,kolkkiillõ,kolkkiill,kolkkiilt,kolkkiissi,kolkkiissaa,kolkkijka,
kometti,kometi,komettia,komettisõ,komettiz,kometiss,kometillõ,kometill,kometilt,kometissi,komettissaa,kometika,kometid,komettijõ,komettiit,komettiisõ,komettiiz,komettiiss,komettiillõ,komettiill,komettiilt,komettiissi,komettiissaa,komettijka,
komferenttsi,komferentsi,komferenttsiä,komferenttsise,komferenttsiz,komferentsiss,komferentsille,komferentsill,komferentsilt,komferentsissi,komferenttsissaa,komferentsika,komferentsid,komferenttsije,komferenttsiit,komferenttsiise,komferenttsiiz,komferenttsiiss,komferenttsiille,komferenttsiill,komferenttsiilt,komferenttsiissi,komferenttsiissaa,komferenttsijka,
komfetti,komfeti,komfettia,komfettisõ,komfettiz,komfetiss,komfetillõ,komfetill,komfetilt,komfetissi,komfettissaa,komfetika,komfetid,komfettijõ,komfettiit,komfettiisõ,komfettiiz,komfettiiss,komfettiillõ,komfettiill,komfettiilt,komfettiissi,komfettiissaa,komfettijka,
komissi,komisi,komissia,komissisõ,komissiz,komisiss,komisillõ,komisill,komisilt,komisissi,komississaa,komisika,komisid,komissijõ,komissiit,komissiisõ,komissiiz,komissiiss,komissiillõ,komissiill,komissiilt,komissiissi,komissiissaa,komissijka,
komit̕et,komit̕eti,komit̕ettiä,komit̕etti,komit̕etiz,komit̕etiss,komit̕etille,komit̕etill,komit̕etilt,komit̕etissi,komit̕etissaa,komit̕etika,komit̕etid,komit̕ettije,komit̕ettiit,komit̕ettiise,komit̕ettiiz,komit̕ettiiss,komit̕ettiille,komit̕ettiill,komit̕ettiilt,komit̕ettiissi,komit̕ettiissaa,komit̕ettijka,
komnõtti,komnõti,komnõttia,komnõttisõ,komnõttiz,komnõtiss,komnõtillõ,komnõtill,komnõtilt,komnõtissi,komnõttissaa,komnõtika,komnõtid,komnõttijõ,komnõttiit,komnõttiisõ,komnõttiiz,komnõttiiss,komnõttiillõ,komnõttiill,komnõttiilt,komnõttiissi,komnõttiissaa,komnõttijka,
kompjutera,kompjutera,kompjutera,kompjuterasõ,kompjuteraz,kompjuterass,kompjuterallõ,kompjuterall,kompjuteralt,kompjuterassi,kompjuterassaa,kompjuteraka,kompjuterad,kompjuterijõ,kompjuteriit,kompjuteriisõ,kompjuteriiz,kompjuteriiss,kompjuteriillõ,kompjuteriill,kompjuteriilt,kompjuteriissi,kompjuteriissaa,kompjuterijka,
kongressi,kongressi,kongressia,kongressisõ,kongressiz,kongressiss,kongressillõ,kongressill,kongressilt,kongressissi,kongressissaa,kongressika,kongressid,kongressijõ,kongressiit,kongressiisõ,kongressiiz,kongressiiss,kongressiillõ,kongressiill,kongressiilt,kongressiissi,kongressiissaa,kongressijka,
kon̕jõkkõ,kon̕jõka,kon̕jõkka,kon̕jõkkasõ,kon̕jõkkõz,kon̕jõkõss,kon̕jõkõllõ,kon̕jõkõll,kon̕jõkõlt,kon̕jõkõssi,kon̕jõkkõssaa,kon̕jõkõka,kon̕jõkõd,kon̕jõkkijõ,kon̕jõkkiit,kon̕jõkkiisõ,kon̕jõkkiiz,kon̕jõkkiiss,kon̕jõkkiillõ,kon̕jõkkiill,kon̕jõkkiilt,kon̕jõkkiissi,kon̕jõkkiissaa,kon̕jõkkijka,
konno,konno,konnoa,konnosõ,konnoz,konnoss,konnollõ,konnoll,konnolt,konnossi,konnossaa,konnoka,konnod,konnojõ,konnoit,konnoisõ,konnoiz,konnoiss,konnoillõ,konnoill,konnoilt,konnoissi,konnoissaa,konnoika,
konnõ,konna,konna,konnasõ,konnõz,konnõss,konnõllõ,konnõll,konnõlt,konnõssi,konnõssaa,konnõka,konnõd,konnijõ,konniit,konniisõ,konniiz,konniiss,konniillõ,konniill,konniilt,konniissi,konniissaa,konnijka,
koollud,koollõ,koolluttõ,koollõsõ,koollõz,koollõss,koollõllõ,koollõll,koollõlt,koollõssi,koollõssaa,koollõka,koollõd,koollujõ,koolluit,koolluisõ,koolluiz,koolluiss,koolluillõ,koolluill,koolluilt,koolluissi,koolluissaa,koolluika,
koomikkõ,koomika,koomikka,koomikkasõ,koomikkõz,koomikõss,koomikõllõ,koomikõll,koomikõlt,koomikõssi,koomikkõssaa,koomikõka,koomikõd,koomikkojõ,koomikkoit,koomikkoisõ,koomikkoiz,koomikkoiss,koomikkoillõ,koomikkoill,koomikkoilt,koomikkoissi,koomikkoissaa,koomikkoika,
